Year,DroughtCount,DroughtCost,FloodingCount,FloodingCost,FreezeCount,FreezeCost,SevereStormCount,SevereStormCost,TropicalCycloneCount,TropicalCycloneCost,WildfireCount,WildfireCost,WinterStormCount,WinterStormCost,AllDisastersCount,AllDisastersCost
1980,1,36.6,1,2.5,0,0.0,0,0.0,1,2.0,0,0.0,0,0.0,3,41.1
1981,0,0.0,0,0.0,1,1.9,1,1.3,0,0.0,0,0.0,0,0.0,2,3.2
1982,0,0.0,0,0.0,0,0.0,2,2.8,0,0.0,0,0.0,1,2.0,3,4.8
1983,1,8.6,2,8.8,1,5.8,0,0.0,1,8.5,0,0.0,0,0.0,5,31.7
1984,0,0.0,0,0.0,0,0.0,2,2.9,0,0.0,0,0.0,0,0.0,2,2.9
1985,0,0.0,1,3.6,1,3.2,1,1.6,3,9.5,0,0.0,1,2.3,7,20.2
1986,1,4.7,0,0.0,0,0.0,1,1.4,0,0.0,0,0.0,0,0.0,2,6.1
1987,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1988,1,49.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,49.0
1989,1,7.0,0,0.0,1,4.7,1,1.3,2,21.7,0,0.0,1,1.5,6,36.2
1990,0,0.0,1,2.2,1,7.6,1,1.8,0,0.0,1,1.5,0,0.0,4,13.1
1991,1,6.3,0,0.0,0,0.0,1,1.4,1,3.1,1,6.8,0,0.0,4,17.6
1992,0,0.0,0,0.0,0,0.0,4,6.3,2,60.5,0,0.0,1,5.0,7,71.8
1993,1,2.5,1,41.7,0,0.0,1,1.3,0,0.0,1,2.7,1,10.9,5,59.1
1994,0,0.0,1,1.9,0,0.0,1,1.9,1,1.9,1,1.4,2,7.8,6,14.9
1995,1,1.8,1,4.7,0,0.0,2,11.3,3,14.2,0,0.0,0,0.0,7,32.0
1996,1,3.3,1,1.9,0,0.0,0,0.0,1,9.0,0,0.0,1,5.5,4,19.7
1997,0,0.0,2,11.9,0,0.0,1,1.7,0,0.0,0,0.0,0,0.0,3,13.6
1998,1,6.2,1,1.6,1,4.4,3,6.6,3,13.3,0,0.0,1,2.5,10,34.6
1999,1,4.3,0,0.0,0,0.0,1,3.4,1,11.0,0,0.0,2,3.3,5,22.0
2000,1,8.4,1,1.5,0,0.0,1,1.1,0,0.0,1,1.8,1,1.2,5,14.0
2001,0,0.0,0,0.0,0,0.0,2,6.1,1,13.5,0,0.0,0,0.0,3,19.6
2002,1,14.4,0,0.0,0,0.0,2,4.4,2,3.5,1,2.1,0,0.0,6,24.4
2003,1,7.8,0,0.0,0,0.0,4,12.4,1,8.4,1,6.0,0,0.0,7,34.6
2004,0,0.0,0,0.0,0,0.0,2,2.5,4,80.3,0,0.0,0,0.0,6,82.8
2005,1,2.2,0,0.0,0,0.0,1,1.3,4,237.1,0,0.0,0,0.0,6,240.6
2006,1,8.6,1,2.1,0,0.0,5,9.9,0,0.0,1,2.1,0,0.0,8,22.7
2007,1,5.0,0,0.0,2,4.9,1,3.4,0,0.0,1,3.7,0,0.0,5,17.0
2008,1,9.4,1,13.3,0,0.0,6,11.9,3,48.3,1,1.6,0,0.0,12,84.5
2009,1,4.7,1,1.2,0,0.0,6,10.6,0,0.0,1,1.3,0,0.0,9,17.8
2010,0,0.0,2,5.4,0,0.0,4,11.6,0,0.0,0,0.0,1,1.1,7,18.1
2011,1,15.4,2,6.5,0,0.0,10,40.5,2,20.0,1,2.3,2,3.5,18,88.2
2012,1,37.5,0,0.0,0,0.0,7,20.1,2,83.4,1,2.2,0,0.0,11,143.2
2013,1,12.8,2,3.1,0,0.0,7,13.1,0,0.0,0,0.0,0,0.0,10,29.0
2014,1,4.8,1,1.2,0,0.0,6,13.3,0,0.0,0,0.0,1,2.6,9,21.9
2015,1,5.4,2,5.4,0,0.0,6,9.8,0,0.0,1,3.6,1,3.6,11,27.8
2016,1,4.1,4,19.2,0,0.0,8,17.2,1,11.7,1,2.8,0,0.0,15,55.0
2017,1,2.9,2,3.7,1,1.2,10,21.3,3,304.8,1,20.9,0,0.0,18,354.8
2018,1,3.4,0,0.0,0,0.0,9,14.4,2,54.9,1,27.1,2,3.7,15,103.5
2019,0,0.0,3,22.4,0,0.0,8,15.3,2,7.3,1,5.0,0,0.0,14,50.0
2020,1,4.9,0,0.0,0,0.0,13,36.8,7,49.0,1,17.9,0,0.0,22,108.6
2021,1,9.1,2,2.6,0,0.0,11,20.8,4,80.2,1,10.8,1,24.5,20,148.0
