FIPS,Year,State,Bills
01,2022,Alabama,2
02,2022,Alaska,9
04,2022,Arizona,52
05,2022,Arkansas,3
06,2022,California,231
08,2022,Colorado,22
09,2022,Connecticut,7
10,2022,Delaware,4
11,2022,District of Columbia,4
12,2022,Florida,47
13,2022,Georgia,15
15,2022,Hawaii,135
16,2022,Idaho,26
17,2022,Illinois,74
18,2022,Indiana,18
19,2022,Iowa,35
20,2022,Kansas,7
21,2022,Kentucky,8
22,2022,Louisiana,8
23,2022,Maine,38
24,2022,Maryland,16
25,2022,Massachussetts,92
26,2022,Michigan,37
27,2022,Minnesota,126
28,2022,Mississippi,8
29,2022,Missouri,7
30,2022,Montana,0
31,2022,Nebraska,10
32,2022,Nevada,0
33,2022,New Hampshire,17
34,2022,New Jersey,223
35,2022,New Mexico,5
36,2022,New York,147
37,2022,North Carolina,27
38,2022,North Dakota,0
39,2022,Ohio,5
40,2022,Oklahoma,47
41,2022,Oregon,12
42,2022,Pennsylvania,39
44,2022,Rhode Island,63
45,2022,South Carolina,9
46,2022,South Dakota,2
47,2022,Tennessee,20
48,2022,Texas,0
49,2022,Utah,24
50,2022,Vermont,16
51,2022,Virgnia,28
53,2022,Washington,54
54,2022,West Virginia,10
55,2022,Wisconsin,35
56,2022,Wymoning,1
