year,month,value
1881,08,-1.34
1882,06,-1.67
1882,07,-1.7
1882,09,-1.67
1882,10,-1.75
1882,12,-1.43
1883,01,-1.88
1883,03,-0.92
1883,04,-0.56
1883,06,-2.11
1883,07,-2
1883,09,-1.53
1883,10,-2.02
1883,11,-1.14
1884,04,-1.65
1884,05,-1.44
1884,06,-1.19
1884,07,-1.89
1884,09,-1.36
1884,10,-1.41
1884,11,-1.29
1884,12,-1.23
1885,01,-1.45
1885,02,-1.22
1885,03,-0.9
1885,04,-0.48
1885,09,0.87
1885,10,0.79
1885,12,-0.44
1886,01,-0.49
1886,03,-0.66
1886,04,-0.14
1886,06,-0.81
1886,07,-1.01
1886,08,-0.95
1886,09,-0.59
1886,10,-0.78
1886,11,-0.66
1886,12,-0.74
1887,01,-0.66
1887,02,-0.97
1887,03,-0.85
1887,04,-0.97
1887,06,-1.54
1887,08,-3.16
1887,09,-2.17
1887,11,-0.92
1887,12,-0.91
1888,01,-0.79
1888,02,-0.67
1888,03,-1.05
1888,04,-0.88
1888,05,-0.66
1888,06,-1.29
1888,09,-1.07
1888,10,-1.3
1888,11,-1.34
1888,12,-0.76
1889,01,-0.59
1889,02,-0.89
1889,03,-1.24
1889,05,0.24
1889,06,0.29
1889,07,0.71
1889,08,0.12
1889,09,-0.73
1889,10,-0.16
1889,11,-0.12
1889,12,-0.75
1890,01,-0.35
1890,03,-1.02
1890,04,-0.69
1890,05,-0.42
1890,06,-0.84
1890,08,-1.35
1890,09,-1.12
1890,10,-1.23
1890,11,-1.54
1890,12,-1.43
1891,01,-0.95
1891,02,-0.73
1891,03,-0.78
1891,04,-0.51
1891,05,-1.32
1891,06,-1.56
1891,08,-2.26
1891,09,-1.94
1891,11,-1.83
1891,12,-0.56
1892,01,-0.11
1892,02,-0.22
1892,03,-0.79
1892,04,-2.51
1892,05,-2.77
1892,06,-2.17
1892,07,-1.84
1892,08,-1.59
1892,09,-1.27
1892,10,-1.3
1892,11,-0.24
1892,12,0.19
1893,01,0.13
1893,02,-1.02
1893,03,-1.11
1893,04,-1.3
1893,05,-0.7
1893,06,-0.54
1893,08,-0.64
1893,09,-0.55
1893,10,-1.34
1893,11,-1.11
1893,12,-0.47
1894,01,-1.09
1894,02,-0.7
1894,03,-1.19
1894,04,-0.97
1894,05,-1.21
1894,06,-0.94
1894,07,-1.06
1894,08,-1.85
1894,09,-1.51
1894,10,-1.49
1894,11,-1.08
1894,12,-1.29
1895,01,-1.66
1895,02,-2.06
1895,03,-1.08
1895,04,-1.16
1895,05,-1.84
1895,06,-1.89
1895,07,-2.03
1895,08,-1.74
1895,09,-1.46
1895,11,-1.59
1895,12,-1.34
1896,01,-1.4
1896,02,-0.65
1896,03,-0.42
1896,04,-0.38
1896,05,-1.27
1896,06,-1.81
1896,07,-1.66
1896,09,-1.52
1896,10,-1.15
1896,11,-1.46
1896,12,-1.53
1897,01,-1.08
1897,02,-0.39
1897,03,-0.79
1897,04,-0.92
1897,05,-1.55
1897,06,-1.49
1897,07,-1.62
1897,08,-1.46
1897,10,-1.74
1897,11,-2.18
1897,12,-1.61
1898,02,-1.18
1898,03,-1.11
1898,04,-0.96
1898,05,-0.6
1898,06,-0.64
1898,07,-0.97
1898,09,-1.25
1898,10,-1.05
1898,11,-1.06
1899,01,-1.44
1899,02,-1.04
1899,03,-1.02
1899,04,-1.59
1899,05,-1.76
1899,06,-1.06
1899,07,-0.24
1899,08,-0.18
1899,10,-1.41
1899,12,-1.3
1900,01,-1.14
1900,04,-1.26
1900,05,-1.82
1900,06,-2.39
1900,11,-1.17
1900,12,-1.53
1901,02,-0.64
1901,03,-0.99
1901,04,-1.93
1901,05,-1.64
1901,06,-2.11
1901,07,-1.09
1901,08,-0.95
1901,09,-0.42
1901,10,-0.35
1901,11,-0.81
1901,12,-1.27
1902,01,-1.29
1902,02,-1.01
1902,03,-0.71
1902,04,-0.47
1902,05,-1.08
1902,06,-1.58
1902,07,-2.62
1902,08,-1.79
1902,09,-1.42
1902,10,-2.49
1902,11,-2.39
1902,12,-2.39
1903,01,-1.73
1903,02,-1.48
1903,03,-1.79
1903,04,-1.75
1903,05,-1.8
1903,06,-1.3
1903,07,-1.68
1903,08,-2.1
1903,09,-1.71
1903,10,-1.04
1903,11,-1.52
1903,12,-1.73
1904,01,-2.61
1904,02,-2.32
1904,03,-2.53
1904,04,-2.35
1904,05,-2.76
1904,06,-2.41
1904,07,-2.42
1904,08,-2.19
1904,09,-1.89
1904,10,-1.98
1904,11,-1.65
1904,12,-1.48
1905,01,-2
1905,02,-1.89
1905,03,-1.96
1905,04,-1.7
1905,05,-1.78
1905,06,-1.85
1905,07,-2.64
1905,08,-2.84
1905,09,-2.61
1905,10,-1.89
1905,11,-1.98
1905,12,-2.05
1906,01,-2.05
1906,02,-1.81
1906,03,-0.97
1906,04,-1.62
1906,05,-1.98
1906,06,-2.35
1906,07,-2.16
1906,08,-2.14
1906,09,-1.9
1906,10,-2.07
1906,11,-1.52
1906,12,-1.38
1907,01,-1.29
1907,02,-1.16
1907,03,-1.01
1907,04,-0.96
1907,05,-1.62
1907,06,-1.78
1907,07,-1.78
1907,08,-1.68
1907,09,-1.63
1907,10,-1.62
1907,11,-1.12
1907,12,-1.16
1908,01,-1.34
1908,02,-1.57
1908,03,-1.47
1908,04,-1.07
1908,05,-1.32
1908,06,-1.75
1908,07,-2
1908,08,-1.51
1908,09,-1.25
1908,10,-1.25
1908,11,-1.25
1908,12,-1.46
1909,01,-1.81
1909,02,-1.63
1909,03,-1.25
1909,04,-1.36
1909,05,-0.97
1909,06,-1.3
1909,07,-1.13
1909,08,-1.24
1909,09,-0.9
1909,10,-1.01
1909,11,-0.73
1909,12,-1.32
1910,01,-1.26
1910,02,-0.64
1910,03,-1.06
1910,04,-0.9
1910,05,-0.72
1910,06,-0.54
1910,07,-0.95
1910,08,-1.02
1910,09,-0.91
1910,10,-1.37
1910,11,-0.93
1910,12,-1.03
1911,01,-1.59
1911,02,-1.15
1911,03,-1.79
1911,04,-1.75
1911,05,-2.04
1911,06,-1.77
1911,07,-1.92
1911,08,-2.02
1911,09,-1.68
1911,10,-1.81
1911,11,-1.34
1911,12,-1.46
1912,01,-1.12
1912,02,-0.82
1912,03,-0.82
1912,04,-0.79
1912,05,-0.99
1912,06,-1.31
1912,07,-1.72
1912,08,-2.06
1912,09,-2.07
1912,10,-1.13
1912,11,-0.96
1912,12,-1.14
1913,01,-0.67
1913,02,-0.98
1913,03,-1.02
1913,04,-1.36
1913,05,-0.95
1913,06,-0.76
1913,07,-0.76
1913,08,-0.84
1913,09,-0.91
1913,10,-0.92
1913,11,-0.91
1913,12,-0.97
1914,01,-0.97
1914,02,-1.06
1914,03,-1.09
1914,04,-0.71
1914,05,-1.33
1914,06,-1.46
1914,07,-1.84
1914,08,-2.36
1914,09,-2.33
1914,10,-0.83
1914,11,-0.65
1914,12,-0.62
1915,01,-1.56
1915,02,-1.11
1915,03,-0.33
1915,04,0.06
1915,05,-0.08
1915,06,-0.32
1915,07,-0.59
1915,08,-1.4
1915,09,-0.89
1915,10,-0.7
